COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
CA,1/11/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,122021654,8.42
DE,1/11/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,122021654,8.42
FR,1/11/2021,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,46740014,4.38
GB,1/11/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,122021654,8.42
IN,1/11/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,122021654,8.42
JP,1/11/2021,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,58792578,3.86
KR,1/11/2021,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,60701406,3.79
MX,1/11/2021,"DJ Snake, Ozuna, Megan Thee Stallion, LISA of BLACKPINK - SG (Official Music Video)",DJSnakeVEVO,Music,54526245,6.7
RU,1/11/2021,Exercise Ball Racing Is AWESOME 🔴🟡,How Ridiculous,Sports,103289157,3.69
US,1/11/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,139547582,3.38
BR,1/12/2021,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,39488198,2.86
CA,1/12/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,137068663,7.97
DE,1/12/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,130743617,8.15
FR,1/12/2021,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,39488198,2.86
GB,1/12/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,137068663,7.97
IN,1/12/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,130743617,8.15
JP,1/12/2021,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,42856726,2.81
KR,1/12/2021,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,42549295,2.82
MX,1/12/2021,Google — Year In Search 2021,Google,Science & Technology,71513525,0.2
RU,1/12/2021,😱OMG😱 BEST TEACHER,dednahype,Comedy,158330370,5.23
US,1/12/2021,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,137068663,7.97
BR,1/01/2022,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,Gaming,51873027,1.17
CA,1/01/2022,DIY hands cast #Shorts,Wood Mood,Howto & Style,85006005,3.3
DE,1/01/2022,Balloon Pop Racing Is INTENSE!! 🎈,How Ridiculous,Sports,107927053,3.67
FR,1/01/2022,We Don't Talk About Bruno (From Encanto),DisneyMusicVEVO,Music,33862057,1.96
GB,1/01/2022,Diver Cracks Egg at 45 ft Deep #Shorts,Shanger Danger,People & Blogs,47397141,5.82
IN,1/01/2022,Ghareeb Baap aur Khilone Wala || Emotional Video || #shorts,Peep Peep,Entertainment,87847902,2.66
JP,1/01/2022,Kep1er 케플러 | ‘WA DA DA’ M/V,Kep1er,People & Blogs,34418748,3.85
KR,1/01/2022,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,Gaming,90978675,0.69
MX,1/01/2022,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,Gaming,68204276,0.9
RU,1/01/2022,Balloon Pop Racing Is INTENSE!! 🎈,How Ridiculous,Sports,91248098,3.82
US,1/01/2022,He went against a pro and came up clutch 👏🔥 | #shorts,SportsNation,Sports,42093658,4.36
,,,,,,
